HP
Date,cons_Q,amb_T
01.01.2016 00:00,3845.051311,8.7
01.01.2016 00:15,4117.568825,9.7
01.01.2016 00:30,4390.086338,10.7
01.01.2016 00:45,4662.603851,11.7
01.01.2016 01:00,4935.121364,10
01.01.2016 01:15,5136.739261,9.5
01.01.2016 01:30,5338.357157,13
01.01.2016 01:45,5539.975054,8.5
01.01.2016 02:00,5741.592949,7.4
01.01.2016 02:15,5882.157346,9
01.01.2016 02:30,6022.721743,10.4
01.01.2016 02:45,6163.28614,11.4
01.01.2016 03:00,6303.850536,12.9
01.01.2016 03:15,6466.661124,13.9
01.01.2016 03:30,6629.471711,11.9
01.01.2016 03:45,6792.282299,15.9
01.01.2016 04:00,6955.092887,16.6
01.01.2016 04:15,11513.44318,12.6
01.01.2016 04:30,16071.79347,15.6
01.01.2016 04:45,20630.14377,18.6
01.01.2016 05:00,25188.49406,19.9
01.01.2016 05:15,24494.13602,11.9
01.01.2016 05:30,23799.77799,14.9
01.01.2016 05:45,23105.41996,13.9
01.01.2016 06:00,22411.06192,21
01.01.2016 06:15,21828.11184,11
01.01.2016 06:30,21245.16178,12
01.01.2016 06:45,20662.2117,13
01.01.2016 07:00,20079.26163,14.3
01.01.2016 07:15,19621.21166,12.3
01.01.2016 07:30,19163.16169,15.3
01.01.2016 07:45,18705.11171,16.3
01.01.2016 08:00,18247.06174,14.3
01.01.2016 08:15,17834.65003,13.3
01.01.2016 08:30,17422.23831,12.3
01.01.2016 08:45,17009.8266,14.3
01.01.2016 09:00,16597.41489,15.6
01.01.2016 09:15,16225.69418,13.6
01.01.2016 09:30,15853.97347,14.6
01.01.2016 09:45,15482.25276,16.6
01.01.2016 10:00,15110.53205,13.5
01.01.2016 10:15,14660.71706,15.5
01.01.2016 10:30,14210.90207,17.5
01.01.2016 10:45,13761.08707,13.5
01.01.2016 11:00,13311.27208,15.5
01.01.2016 11:15,12675.78737,12.5
01.01.2016 11:30,12040.30266,15.5
01.01.2016 11:45,11404.81795,14.5
01.01.2016 12:00,10769.33324,15.6
