HEATLOAD
Time,DHW Demand [L],SH Demand [kW],T_amb,dhw_in_T
01.01.2020 00:00,0,0,1.12,13.61
01.01.2020 00:15,0,0,0.92,13.59
01.01.2020 00:30,0,0,0.78,13.57
01.01.2020 00:45,0,0,0.68,13.55
01.01.2020 01:00,0,0,0.58,13.53
01.01.2020 01:15,0,0,0.49,13.51
01.01.2020 01:30,0,0,0.46,13.49
01.01.2020 01:45,0,0,0.51,13.47
01.01.2020 02:00,0,0,0.56,13.45
01.01.2020 02:15,0.67,0,0.61,13.43
01.01.2020 02:30,0,0,0.66,13.41
01.01.2020 02:45,0,0,0.72,13.39
01.01.2020 03:00,0,0,0.77,13.36
01.01.2020 03:15,0,0,0.82,13.34
01.01.2020 03:30,2,0,0.82,13.32
01.01.2020 03:45,0.33,0,0.76,13.3
01.01.2020 04:00,2,0,0.71,13.27
01.01.2020 04:15,0,0,0.66,13.25
01.01.2020 04:30,0.67,0,0.59,13.23
01.01.2020 04:45,0.33,0,0.49,13.2
01.01.2020 05:00,1.67,0,0.4,13.18
01.01.2020 05:15,4.67,0,0.31,13.15
01.01.2020 05:30,3.33,0,0.25,13.13
01.01.2020 05:45,10.87,0,0.23,13.1
01.01.2020 06:00,13.07,4,0.21,13.07
01.01.2020 06:15,25.8,8,0.18,13.05
01.01.2020 06:30,18.6,16,0.16,13.02
01.01.2020 06:45,20.07,16,0.13,12.99
01.01.2020 07:00,18.47,16,0.11,12.97
01.01.2020 07:15,9.07,12,0.08,12.94
01.01.2020 07:30,5.07,12,0.1,12.91
01.01.2020 07:45,9.2,12,0.15,12.88
01.01.2020 08:00,5.67,12,0.2,12.85
01.01.2020 08:15,11.13,12,0.25,12.82
01.01.2020 08:30,11.53,4,0.34,12.79
01.01.2020 08:45,10.73,8,0.45,12.76
01.01.2020 09:00,11.13,4,0.56,12.74
01.01.2020 09:15,6.47,4,0.68,12.7
01.01.2020 09:30,16.73,4,0.84,12.67
01.01.2020 09:45,14.6,0,1.05,12.64
01.01.2020 10:00,5.33,0,1.26,12.61
01.01.2020 10:15,3.6,0,1.47,12.58
01.01.2020 10:30,1.07,4,1.67,12.55
01.01.2020 10:45,1.4,4,1.86,12.52
01.01.2020 11:00,2.67,12,2.05,12.49
