heat_source_T,15,20,25,30,35,40,45,50,55,60
-20,15.8,15.8,15.8,15.8,15.8,15.8,15.8,,,
-15,19,19,19,19,19,19,19,,,
-12,21,21,21,21,21,21,21,,,
-10,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,,
-7,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.28,
-2,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.1,27,27.1
2,29.39,29.39,29.39,29.39,29.67,29.39,29.39,29.39,29.1,29.39
7,33.25,33.25,33.25,33.25,32.5,33.25,33.25,33.25,34,33.25
10,38.47,38.47,38.47,38.47,39.43,38.47,38.47,38.47,37.5,38.47
12,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
15,,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4
20,,,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
25,,,,48,48,48,48,48,48,48
30,,,,,51,51,51,51,51,51
35,,,,,,54,54,54,54,54
